First Name,Last Name,Country,Number,Team Name
Vincenzo,NIBALI ,ITA,1,ASTANA PRO TEAM
Lars,BOOM,NED,2,ASTANA PRO TEAM
Jakob,FUGLSANG ,DEN,3,ASTANA PRO TEAM
Andriy,GRIVKO ,UKR,4,ASTANA PRO TEAM
Dmitriy,GRUZDEV ,KAZ,5,ASTANA PRO TEAM
Tanel,KANGERT ,EST,6,ASTANA PRO TEAM
Michele,SCARPONI ,ITA,7,ASTANA PRO TEAM
Rein,TAARAMAE,EST,8,ASTANA PRO TEAM
Lieuwe,WESTRA ,NED,9,ASTANA PRO TEAM
Jean-Christophe,PERAUD ,FRA,11,AG2R LA MONDIALE
Romain,BARDET ,FRA,12,AG2R LA MONDIALE
Jan,BAKELANTS ,BEL,13,AG2R LA MONDIALE
Mikael,CHEREL ,FRA,14,AG2R LA MONDIALE
Ben,GASTAUER,NED,15,AG2R LA MONDIALE
Damien,GAUDIN ,FRA,16,AG2R LA MONDIALE
Christophe,RIBLON ,FRA,17,AG2R LA MONDIALE
Johan,VAN SUMMEREN ,BEL,18,AG2R LA MONDIALE
Alexis,VUILLERMOZ ,FRA,19,AG2R LA MONDIALE
Thibaut,PINOT ,FRA,21,FDJ
William,BONNET ,FRA,22,FDJ
Sebastien,CHAVANEL ,FRA,23,FDJ
Arnaud,DEMARE ,FRA,24,FDJ
Alexandre,GENIEZ ,FRA,25,FDJ
Matthieu,LADAGNOUS ,FRA,26,FDJ
Steve,MORABITO,SUI,27,FDJ
Jeremy,ROY ,FRA,28,FDJ
Benoit,VAUGRENARD ,FRA,29,FDJ
Christopher,FROOME ,GBR,31,TEAM SKY
Peter,KENNAUGH,GBR,32,TEAM SKY
Leopold,KONIG ,CZE,33,TEAM SKY
Wouter,POELS ,NED,34,TEAM SKY
Richie,PORTE ,AUS,35,TEAM SKY
Nicolas,ROCHE ,IRL,36,TEAM SKY
Luke,ROWE ,GBR,37,TEAM SKY
Ian,STANNARD ,GBR,38,TEAM SKY
Geraint,THOMAS ,GBR,39,TEAM SKY
Alberto,CONTADOR ,ESP,41,TINKOFF-SAXO
Ivan,BASSO ,ITA,42,TINKOFF-SAXO
Daniele,BENNATI ,ITA,43,TINKOFF-SAXO
Roman,KREUZIGER ,CZE,44,TINKOFF-SAXO
Rafal,MAJKA ,POL,45,TINKOFF-SAXO
Michael,ROGERS ,AUS,46,TINKOFF-SAXO
Peter,SAGAN ,SVK,47,TINKOFF-SAXO
Matteo,TOSATTO ,ITA,48,TINKOFF-SAXO
Michael Valgren,ANDERSEN ,DEN,49,TINKOFF-SAXO
Nairo Alexander,QUINTANA ROJAS ,COL,51,MOVISTAR TEAM
Winner Andrew,ANACONA GOMEZ ,COL,52,MOVISTAR TEAM
Jonathan,CASTROVIEJO NICOLAS ,ESP,53,MOVISTAR TEAM
Alex,DOWSETT ,GBR,54,MOVISTAR TEAM
Imanol,ERVITI OLLO ,ESP,55,MOVISTAR TEAM
Jose,HERRADA LOPEZ ,ESP,56,MOVISTAR TEAM
Gorka,IZAGIRRE INSAUSTI ,ESP,57,MOVISTAR TEAM
Adriano,MALORI ,ITA,58,MOVISTAR TEAM
Alejandro,VALVERDE BELMONTE ,ESP,59,MOVISTAR TEAM
Tejay,VAN GARGEREN ,USA,61,BMC RACING TEAM
Damiano,CARUSO ,ITA,62,BMC RACING TEAM
Rohan,DENNIS ,AUS,63,BMC RACING TEAM
Daniel,OSS ,ITA,64,BMC RACING TEAM
Manuel,QUINZIATO ,ITA,65,BMC RACING TEAM
Samuel,SANCHEZ ,ESP,66,BMC RACING TEAM
Michael,SCHAR ,SUI,67,BMC RACING TEAM
Greg,VAN AVERMAET ,BEL,68,BMC RACING TEAM
Danilo,WYSS ,SUI,69,BMC RACING TEAM
Tony,GALLOPIN ,FRA,71,LOTTO-SOUDAL
Lars,BAK ,DEN,72,LOTTO-SOUDAL
Thomas,DE GENDT ,BEL,73,LOTTO-SOUDAL
Jens,DEBUSSCHERE ,BEL,74,LOTTO-SOUDAL
Andre,GREIPEL ,GER,75,LOTTO-SOUDAL
Adam,HANSEN ,AUS,76,LOTTO-SOUDAL
Gregory,HENDERSON ,AUS,77,LOTTO-SOUDAL
Marcel,SIEBERG ,GER,78,LOTTO-SOUDAL
Tim,WELLENS ,BEL,79,LOTTO-SOUDAL
John,DEGENKOLB ,GER,81,TEAM GIANT-ALPECIN
Warren,BARGUIL ,FRA,82,TEAM GIANT-ALPECIN
Roy,CURVERS ,NED,83,TEAM GIANT-ALPECIN
Koen,DE KORT ,NED,84,TEAM GIANT-ALPECIN
Tom,DUMOULIN ,NED,85,TEAM GIANT-ALPECIN
Simon,GESCHKE ,GER,86,TEAM GIANT-ALPECIN
Georg,PREIDLER ,AUT,87,TEAM GIANT-ALPECIN
Ramon,SINKELDAM ,NED,88,TEAM GIANT-ALPECIN
Albert,TIMMER ,NED,89,TEAM GIANT-ALPECIN
Joachim,RODRIGUEZ OLIVER ,ESP,91,TEAM KATUSHA
Gianpaolo,CARUSO ,ITA,92,TEAM KATUSHA
Jacopo,GUARNIERI ,ITA,93,TEAM KATUSHA
Marco,HALLER ,AUT,94,TEAM KATUSHA
Dimitry,KOZONTCHUK ,RSU,95,TEAM KATUSHA
Alexander,KRISTOFF ,NOR,96,TEAM KATUSHA
Alberto,LOSADA ALGUACIL,ESP,97,TEAM KATUSHA
Tiago,MACHADO ,POR,98,TEAM KATUSHA
Luca,PALOLINI ,ITA,99,TEAM KATUSHA
Simon,GERRANS ,AUS,101,ORICA GREENEDGE
Micahel,ALBASINI ,SUI,102,ORICA GREENEDGE
Luke,DURBRIDGE ,AUS,103,ORICA GREENEDGE
Daryl,IMPEY ,RSA,104,ORICA GREENEDGE
Michael,MATTHEWS ,AUS,105,ORICA GREENEDGE
Svein,TUFT ,CAN,106,ORICA GREENEDGE
Pieter,WEENING ,NED,107,ORICA GREENEDGE
Adam,YATES ,GBR,108,ORICA GREENEDGE
Simon,YATES ,GBR,109,ORICA GREENEDGE
Michal,KWIATKOWSKI ,POL,111,ETIXX-QUICK STEP
Mark,CAVENDISH ,GBR,112,ETIXX-QUICK STEP
Michal,GOLAS ,POL,113,ETIXX-QUICK STEP
Tony,MARTIN ,GER,114,ETIXX-QUICK STEP
Mark,RENSHAW ,AUS,115,ETIXX-QUICK STEP
Zdenek,STYBAR ,CZE,116,ETIXX-QUICK STEP
Matteo,TRENTIN ,ITA,117,ETIXX-QUICK STEP
