Position,First Name,Last Name,Number,Team Name,Time,Time Gap
1,Christopher,FROOME ,31,TEAM SKY,84h 46' 14'',"00' 00"""
2,Nairo Alexander,QUINTANA ROJAS ,51,MOVISTAR TEAM,84h 47' 26'',01' 12''
3,Alejandro,VALVERDE BELMONTE ,59,MOVISTAR TEAM,84h 51' 39'',05' 25''
4,Vincenzo,NIBALI ,1,ASTANA PRO TEAM,84h 54' 50'',08' 36''
5,Alberto,CONTADOR ,41,TINKOFF-SAXO,84h 56' 02'',09' 48''
6,Robert ,GESINK ,131,TEAM LOTTO NL - JUMBO,84h 57' 01'',10' 47''
7,Bauke,MOLLEMA ,141,TREK FACTORY RACING,85h 01' 28'',15' 14''
8,Mathias,FRANK ,181,IAM CYCLING,85h 01' 53'',15' 39''
9,Romain,BARDET ,12,AG2R LA MONDIALE,85h 02' 14'',16' 00''
10,Pierre,ROLLAND ,121,TEAM EUROPCAR,85h 03' 44'',17' 30''
11,Andrew,TALANSKY ,161,TEAM CANNONDALE-GARMIN,85h 08' 20'',22' 06''
12,Samuel,SANCHEZ ,66,BMC RACING TEAM,85h 09' 04'',22' 50''
13,Serge,PAUWELS ,218,MTN-QHUBEKA,85h 17' 17'',31' 03''
14,Warren,BARGUIL ,82,TEAM GIANT-ALPECIN,85h 17' 29'',31' 15''
15,Geraint,THOMAS ,39,TEAM SKY,85h 17' 53'',31' 39''
16,Thibaut,PINOT ,21,FDJ,85h 25' 06'',38' 52''
17,Roman,KREUZIGER ,44,TINKOFF-SAXO,85h 49' 05'',01h 02' 51''
18,Mikael,CHEREL ,14,AG2R LA MONDIALE,85h 51' 14'',01h 05' 00''
19,Jarlinson,PANTANO GOMEZ ,188,IAM CYCLING,85h 55' 22'',01h 09' 08''
20,Jan,BAKELANTS ,13,AG2R LA MONDIALE,86h 02' 50'',01h 16' 36''
21,Steven,KRUIJSWIJK ,133,TEAM LOTTO NL - JUMBO,86h 07' 41'',01h 21' 27''
22,Tanel,KANGERT ,6,ASTANA PRO TEAM,86h 11' 12'',01h 24' 58''
23,Jakob,FUGLSANG ,3,ASTANA PRO TEAM,86h 11' 37'',01h 25' 23''
24,Jonathan,CASTROVIEJO NICOLAS ,53,MOVISTAR TEAM,86h 12' 19'',01h 26' 05''
25,Jan,BARTA ,192,BORA-ARGON 18,86h 13' 10'',01h 26' 56''
26,Alexis,VUILLERMOZ ,19,AG2R LA MONDIALE,86h 14' 43'',01h 28' 29''
27,Bob,JUNGELS ,147,TREK FACTORY RACING,86h 19' 35'',01h 33' 21''
28,Rafal,MAJKA ,45,TINKOFF-SAXO,86h 21' 20'',01h 35' 06''
29,Joachim,RODRIGUEZ OLIVER ,91,TEAM KATUSHA,86h 22' 21'',01h 36' 07''
30,Ruben,PLAZA MOLINA ,156,LAMPRE - MERIDA,86h 24' 36'',01h 38' 22''
31,Tony,GALLOPIN ,71,LOTTO-SOUDAL,86h 26' 58'',01h 40' 44''
32,Gorka,IZAGIRRE INSAUSTI ,57,MOVISTAR TEAM,86h 27' 48'',01h 41' 34''
33,Romain,SICARD ,127,TEAM EUROPCAR,86h 37' 46'',01h 51' 32''
34,Cyril,GAUTIER ,123,TEAM EUROPCAR,86h 38' 05'',01h 51' 51''
35,Nicolas,ROCHE ,36,TEAM SKY,86h 40' 22'',01h 54' 08''
36,Michael,ROGERS ,46,TINKOFF-SAXO,86h 42' 27'',01h 56' 13''
37,Lars,BAK ,72,LOTTO-SOUDAL,86h 43' 11'',01h 56' 57''
38,Simon,GESCHKE ,86,TEAM GIANT-ALPECIN,86h 44' 28'',01h 58' 14''
39,Daniel,MARTIN ,167,TEAM CANNONDALE-GARMIN,86h 49' 51'',02h 03' 37''
40,Ryder,HESJEDAL ,164,TEAM CANNONDALE-GARMIN,86h 50' 51'',02h 04' 37''
41,Michele,SCARPONI ,7,ASTANA PRO TEAM,86h 51' 17'',02h 05' 03''
42,Rigoberto,URAN URAN ,118,ETIXX-QUICK STEP,86h 54' 34'',02h 08' 20''
43,Luis Angel,MATE MARDONES ,174,"COFIDIS, SOLUTIONS CREDITS",86h 56' 26'',02h 10' 12''
44,Wouter,POELS ,34,TEAM SKY,86h 58' 58'',02h 12' 44''
45,Thomas,VOECKLER ,129,TEAM EUROPCAR,87h 00' 22'',02h 14' 08''
46,Peter,SAGAN ,47,TINKOFF-SAXO,87h 01' 09'',02h 14' 55''
47,Nelson,OLIVEIRA ,155,LAMPRE - MERIDA,87h 01' 46'',02h 15' 32''
48,Richie,PORTE ,35,TEAM SKY,87h 02' 19'',02h 16' 05''
49,Daniel,TEKLEHAIMANOT ,219,MTN-QHUBEKA,87h 02' 29'',02h 16' 15''
50,Adam,YATES ,108,ORICA GREENEDGE,87h 02' 50'',02h 16' 36''
51,Jacques,JANSE VAN RENSBURG ,214,MTN-QHUBEKA,87h 04' 30'',02h 18' 16''
52,Pierrick,FEDRIGO ,204,BRETAGNE - SECHE ENVIRONNEMENT,87h 09' 08'',02h 22' 54''
53,Damiano,CARUSO ,62,BMC RACING TEAM,87h 12' 46'',02h 26' 32''
54,Sylvain,CHAVANEL ,183,IAM CYCLING,87h 15' 42'',02h 29' 28''
55,Bram,TANKINK ,136,TEAM LOTTO NL - JUMBO,87h 16' 26'',02h 30' 12''
56,Michael,SCHAR ,67,BMC RACING TEAM,87h 17' 27'',02h 31' 13''
57,Winner Andrew,ANACONA GOMEZ ,52,MOVISTAR TEAM,87h 17' 28'',02h 31' 14''
58,Alberto,LOSADA ALGUACIL,97,TEAM KATUSHA,87h 18' 44'',02h 32' 30''
59,Stef,CLEMENT ,184,IAM CYCLING,87h 19' 56'',02h 33' 42''
60,Marcel,WYSS ,189,IAM CYCLING,87h 20' 52'',02h 34' 38''
61,Jean-Christophe,PERAUD ,11,AG2R LA MONDIALE,87h 21' 24'',02h 35' 10''
62,Haimar,ZUBELDIA AGIRRE ,149,TREK FACTORY RACING,87h 23' 04'',02h 36' 50''
63,Danilo,WYSS ,69,BMC RACING TEAM,87h 23' 31'',02h 37' 17''
64,Andriy,GRIVKO ,4,ASTANA PRO TEAM,87h 24' 20'',02h 38' 06''
