GEOGID,GEOGTYPE,GEOGDESC,Work_Total_In_work,Work_Total_Out_Of_Work,Work_Total,Socio_Cat_A,Socio_Cat_B,Socio_Total ,Education_Total_With_Degrees,Education_Total_With_No_Degrees,Education_Total,Employed_Percentage,Unemployed_Percentage,Cat_A_Percentage,Cat_B_Percentage,Degree_Percentage,No_Degree_Percentage
C01,CTY,Carlow,24126,5908,42463,25307,29305,54612,8047,27183,35230,56.82,13.91,46.34,53.66,22.84,77.16
C02,CTY,Dublin City,261790,51699,447583,246261,281351,527612,126134,233085,359219,58.49,11.55,46.67,53.33,35.11,64.89
C03,CTY,South Dublin,126165,26039,203924,133401,131804,265205,47789,121122,168911,61.87,12.77,50.3,49.7,28.29,71.71
C04,CTY,Fingal,138363,22640,207584,148521,125470,273991,61034,108580,169614,66.65,10.91,54.21,45.79,35.98,64.02
C05,CTY,Dún Laoghaire-Rathdown,103298,11071,168726,130379,75882,206261,67646,68931,136577,61.22,6.56,63.21,36.79,49.53,50.47
C06,CTY,Kildare,101476,18639,158744,111874,98438,210312,41454,90137,131591,63.92,11.74,53.19,46.81,31.5,68.5
C07,CTY,Kilkenny,44682,8992,74219,49822,45597,95419,16354,46819,63173,60.2,12.12,52.21,47.79,25.89,74.11
C08,CTY,Laois,37148,8260,60646,38705,41854,80559,11844,39676,51520,61.25,13.62,48.05,51.95,22.99,77.01
C09,CTY,Longford,16985,4562,29955,17781,21219,39000,5308,20033,25341,56.7,15.23,45.59,54.41,20.95,79.05
C10,CTY,Louth,53572,13792,94235,59032,63865,122897,19334,59605,78939,56.85,14.64,48.03,51.97,24.49,75.51
C11,CTY,Meath,88804,16292,137669,101048,83087,184135,32346,84315,116661,64.51,11.83,54.88,45.12,27.73,72.27
C12,CTY,Offaly,34302,8313,58732,36147,40540,76687,10319,39515,49834,58.4,14.15,47.14,52.86,20.71,79.29
C13,CTY,Westmeath,39295,8637,66724,42087,44077,86164,14222,41200,55422,58.89,12.94,48.85,51.15,25.66,74.34
C14,CTY,Wexford,64566,16170,112256,70109,75211,145320,20346,77007,97353,57.52,14.4,48.24,51.76,20.9,79.1
C15,CTY,Wicklow,64198,12674,105468,73719,62921,136640,27146,61640,88786,60.87,12.02,53.95,46.05,30.57,69.43
C16,CTY,Clare,54397,10542,91115,59643,57553,117196,21221,55700,76921,59.7,11.57,50.89,49.11,27.59,72.41
C17,CTY,Cork City,52529,12266,101733,48783,70447,119230,22494,57943,80437,51.63,12.06,40.92,59.08,27.96,72.04
C18,CTY,Cork,196580,28603,307796,212089,187713,399802,78787,182754,261541,63.87,9.29,53.05,46.95,30.12,69.88
C19,CTY,Kerry,67842,13519,116150,69159,76343,145502,24807,74507,99314,58.41,11.64,47.53,52.47,24.98,75.02
C20,CTY,Limerick City,22966,7394,46875,21710,35396,57106,8177,29019,37196,48.99,15.77,38.02,61.98,21.98,78.02
C21,CTY,Limerick,62873,11143,105870,68226,66477,134703,24527,62631,87158,59.39,10.53,50.65,49.35,28.14,71.86
C22,CTY,Tipperary North,32661,6323,54821,34463,35859,70322,10847,35897,46744,59.58,11.53,49.01,50.99,23.21,76.79
C23,CTY,Tipperary South,40812,8673,69547,39818,48614,88432,12520,47000,59520,58.68,12.47,45.03,54.97,21.03,78.97
C24,CTY,Waterford City,20041,5616,37476,19366,27366,46732,7374,23131,30505,53.48,14.99,41.44,58.56,24.17,75.83
C25,CTY,Waterford,30754,5956,51739,34462,32601,67063,11638,32669,44307,59.44,11.51,51.39,48.61,26.27,73.73
C26,CTY,Galway City,36077,7234,63036,33721,41808,75529,19716,26790,46506,57.23,11.48,44.65,55.35,42.39,57.61
C27,CTY,Galway,83018,15311,135431,91366,83758,175124,33291,81777,115068,61.3,11.31,52.17,47.83,28.93,71.07
C28,CTY,Leitrim,14457,3047,24919,15474,16324,31798,5390,16132,21522,58.02,12.23,48.66,51.34,25.04,74.96
C29,CTY,Mayo,59502,11866,103325,61753,68885,130638,20506,68199,88705,57.59,11.48,47.27,52.73,23.12,76.88
C30,CTY,Roscommon,29817,5856,50485,31186,32879,64065,10322,33219,43541,59.06,11.6,48.68,51.32,23.71,76.29
C31,CTY,Sligo,29747,5624,52284,31247,34146,65393,12205,31190,43395,56.9,10.76,47.78,52.22,28.13,71.87
C32,CTY,Cavan,33517,7331,55951,34314,38869,73183,9909,37567,47476,59.9,13.1,46.89,53.11,20.87,79.13
C33,CTY,Donegal,66464,18869,124188,75080,86057,161137,23744,81999,105743,53.52,15.19,46.59,53.41,22.45,77.55
C34,CTY,Monaghan,27770,5982,46993,29607,30876,60483,8316,31404,39720,59.09,12.73,48.95,51.05,20.94,79.06
