GUID,GEOGID,GEOGDESC,Work_Total_At_Work,Work_Looking_For_Job,Work_Unemployed,Work_Student,Looking_After_Family,Retired,Disabled,Other,Total_Employed,Total_Unemployed,Total,Employed_Percentage,Unemployed_Percentage
EB9428B8-B443-407E-977B-9393FD73E1D0,CTY31_CC,Cork City,50483,919,8024,16374,7641,16997,6716,563,58687,8943,107717,54.48,8.3
84B85B58-010E-45DB-BC55-E137BBE627E4,CTY31_CE,Clare,49511,666,6352,10423,7409,14986,3583,315,57235,7018,93245,61.38,7.53
8A998E65-D3BE-4620-98DE-EBF44DE0285B,CTY31_CK,Cork County,179890,1827,16460,35933,27965,45612,12926,1007,208862,18287,321620,64.94,5.69
F1CE5AB6-2A36-4E32-B04A-E79CCD016BCE,CTY31_CN,Cavan,30509,603,4810,6014,5545,8464,2390,219,36273,5413,58554,61.95,9.24
D3A82C01-E07A-4554-8FE4-355EBB161F5A,CTY31_CW,Carlow,21973,434,4073,5077,4111,6043,2467,143,26227,4507,44321,59.18,10.17
EC7DF314-E9AD-4B31-B76C-E3CE8796A87C,CTY31_DC,Dublin City,265670,4686,34514,53067,28734,63637,18665,2368,296772,39200,471341,62.96,8.32
BCD3C654-AD8A-411B-BCD7-D2C210A9AB28,CTY31_DL,Donegal,58353,1167,11662,13329,10644,22365,6121,509,69506,12829,124150,55.99,10.33
8CD118DF-9362-4D15-8028-16CB016E942C,CTY31_DR,Dún Laoghaire-Rathdown,95925,927,6789,25644,13801,30339,4071,483,110209,7716,177979,61.92,4.34
DA8A143E-499D-4407-AE87-36E6C9F68EF9,CTY31_FL,Fingal,133971,1850,13565,24273,17677,24434,7102,535,152183,15415,223407,68.12,6.9
FA241879-9706-4005-BFD7-FBF80C56C6EE,CTY31_GC,Galway City,34951,634,4541,11187,3609,8012,2146,349,38909,5175,65429,59.47,7.91
9B0F930F-0337-4FCA-B95F-2500BC016DF8,CTY31_GY,Galway County,75116,936,9002,14877,12099,20569,5724,424,87639,9938,138747,63.16,7.16
F681A4DB-9F68-4E3A-98F1-754DA7A3F4BD,CTY31_KE,Kildare,95947,1395,10902,20559,14478,18890,6255,518,110943,12297,168944,65.67,7.28
5F2BE378-1CF3-4332-A1D0-21EBAD4D24EF,CTY31_KK,Kilkenny,41363,578,5466,8164,6524,11819,3276,276,48163,6044,77466,62.17,7.8
6F00ECFF-F079-40A7-97B7-B8391AFCF856,CTY31_KY,Kerry,61222,835,7866,11849,9585,21855,5238,466,71273,8701,118916,59.94,7.32
89D0FD4F-B387-461B-A8F0-0FCF37A9340E,CTY31_LD,Longford,15172,374,3327,3062,2873,4782,1657,118,18163,3701,31365,57.91,11.8
0F2662EE-A38D-4001-AEAA-209C2058B3F8,CTY31_LH,Louth,50317,1145,8913,11145,8514,13989,4879,317,59148,10058,99219,59.61,10.14
BA1DDA73-2749-4473-A847-2BAAD5038176,CTY31_LK,Limerick City and County,77185,1481,11454,20161,12677,23139,8494,714,90576,12935,155305,58.32,8.33
76CF8F82-CD46-41F7-A5AD-400A08468D2B,CTY31_LM,Leitrim,12728,197,1966,2343,2042,4546,1212,87,14857,2163,25121,59.14,8.61
76A974D4-60F2-4167-AB8E-6ADEFC878A57,CTY31_LS,Laois,33541,616,5452,6492,6004,8077,2970,733,40278,6068,63885,63.05,9.5
7D3D6EF0-2287-488A-BD33-A9883D8F3AC4,CTY31_MH,Meath,83259,1092,9431,16065,13236,17481,5124,425,96920,10523,146113,66.33,7.2
78AE611D-F9DA-4EC9-8ECE-846BFFFCA22D,CTY31_MN,Monaghan,25549,350,3481,4942,4154,6721,2033,197,29900,3831,47427,63.04,8.08
0CE50849-C9F9-4C13-A0CF-6F98CD58B40F,CTY31_MO,Mayo,51439,768,7823,10493,8188,20018,4773,451,60078,8591,103953,57.79,8.26
085B854E-1C5E-440B-929F-6E375069859E,CTY31_OY,Offaly,30287,553,5191,6449,5931,8596,3033,194,36412,5744,60234,60.45,9.54
2D3544E6-A828-4BF7-A4B5-F3C3F3A1B11B,CTY31_RN,Roscommon,25819,412,3435,5018,4500,8738,2526,434,30753,3847,50882,60.44,7.56
6C7D5F02-1D93-42BF-9B2E-91CE53906E32,CTY31_SD,South Dublin,119210,2030,16235,23833,17074,27258,8427,612,136896,18265,214679,63.77,8.51
15F5BE96-328E-4F88-A697-4ABA7341FD94,CTY31_SO,Sligo,26002,438,3812,6333,3599,9230,2547,261,29862,4250,52222,57.18,8.14
F67663AB-74A6-4B8B-A2EA-C0B76AEB132B,CTY31_TY,Tipperary,63472,1056,9811,12932,11433,19752,6598,464,75369,10867,125518,60.05,8.66
8256B4AB-2EBB-46EA-BCFD-E9B5DA4BFD23,CTY31_WD,Waterford City and County,45595,852,7471,10311,7633,15121,4180,468,53696,8323,91631,58.6,9.08
C26AC177-3D04-4F56-BC31-DC712289C410,CTY31_WH,Westmeath,35289,700,5966,7854,6073,9605,3077,431,41793,6666,68995,60.57,9.66
9E71A548-10AA-4EC4-951D-05CA74EA7337,CTY31_WW,Wicklow,59134,791,7812,11880,10164,15722,4246,409,69707,8603,110158,63.28,7.81
32E5833E-7F3A-41B8-9E25-6B1C0F021EEC,CTY31_WX,Wexford,57759,1122,10356,11045,11639,18610,5892,347,69745,11478,116770,59.73,9.83
